Symbol,CompanyName,Sector,FirstDate,LastDate,TradingDays,MaxHigh,MinLow,LatestClose,TotalVolume,TotalValue
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotels And Tourism,2025-11-11,2025-12-03,17,837.0,285.0,825.0,1488923,1151713078.6
BARUN,Barun Hydropower Co. Ltd.,Hydro Power,2024-12-03,2025-12-03,226,589.0,292.1,332.0,35187487,15406057159.51
BBC,Bishal Bazar Company Limited,Tradings,2024-12-03,2025-12-03,226,7247.0,4480.0,4924.9,262192,1509013109.7
BEDC,Bhugol Energy Development Company Ltd,Hydro Power,2024-12-03,2025-12-03,226,1080.0,501.0,561.0,9507194,7091550358.2
BFC,Best Finance Company Ltd.,Finance,2024-12-03,2025-12-03,226,826.0,411.5,488.0,9255666,5597108878.85
BGWT,Bhagawati Hyropower Development Company Ltd.,Hydro Power,2024-12-03,2025-12-03,226,1241.0,750.1,762.0,1923984,1971357161.5
BHCL,Bikash Hydropower Company Ltd,Hydro Power,2025-08-20,2025-12-03,57,625.7,292.1,527.0,2726389,1311599746.4
BHDC,Bindhyabasini Hydropower Development Company Limited,Hydro Power,2024-12-03,2025-12-03,226,760.2,426.0,483.3,11786839,6699697487.9
BHL,Balephi Hydropower Limited,Hydro Power,2024-12-03,2025-12-03,226,410.0,164.0,181.0,54128634,11935326485.0
BHPL,Barahi Hydropower Public Limited,Hydro Power,2024-12-03,2025-12-03,226,1308.4,650.0,655.0,2225714,2094423480.6
BNHC,Buddha bhumi nepal hydro power company limited,Hydro Power,2024-12-03,2025-12-03,226,608.0,393.0,446.8,4353020,2283581891.2
BNL,Bottlers Nepal (Balaju) Limited,Manufacturing And Processing,2024-12-03,2025-12-03,226,22500.0,14900.0,15850.0,10638,193630435.7
BNT,Bottlers Nepal (Terai) Limited,Manufacturing And Processing,2024-12-03,2025-12-03,226,14680.0,10660.0,11920.0,57040,729312560.6
BOKD86,Bank of Kathmandu Ltd.,Commercial Banks,2024-12-03,2025-12-03,226,1137.0,1005.5,1115.0,9254,9882770.1
BOKD86KA,Bank of Kathmandu Ltd.,Commercial Banks,2024-12-03,2025-12-03,226,1198.5,1100.0,1186.0,6381,7284204.2
BPCL,Butwal Power Company Limited,Hydro Power,2024-12-03,2025-12-03,226,1065.0,375.1,718.0,41908991,31220803511.5
BSL,Birat Shoe Limited,Manufacturing And Processing,2024-12-03,2025-12-03,226,28.0,28.0,28.0,0,0.0
BSM,Butwal Spinning Mills Limited,Manufacturing And Processing,2024-12-03,2025-12-03,226,18.0,18.0,18.0,0,0.0
BUNGAL,Bungal Hydro Limited,Hydro Power,2025-11-10,2025-12-03,18,675.0,302.4,658.0,933875,542451822.0
C30MF,Citizens Bank International Limited,Commercial Banks,2024-12-03,2025-12-03,226,10.71,8.65,9.15,12376133,122773373.46000001
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,Microfinance,2024-12-03,2025-12-03,226,1144.8,821.5,1020.6,6222779,6194641592.7
CBLD88,Civil Bank Ltd,Commercial Banks,2024-12-03,2025-12-03,226,1254.2,1104.5,1235.0,43829,51275966.3
CCBD88,Century Commercial Bank Ltd.,Commercial Banks,2024-12-03,2025-12-03,226,1275.0,1103.0,1250.0,52997,64016114.9
CFCL,Central Finance Co. Ltd.,Finance,2024-12-03,2025-12-03,226,720.0,445.1,500.0,7952450,4685253254.6
CFL,Crystal Finance Ltd.,Finance,2024-12-03,2025-12-03,226,117.0,117.0,117.0,0,0.0
CGH,Chandragiri Hills Limited,Hotels And Tourism,2024-12-03,2025-12-03,226,1150.0,800.2,890.0,11474664,11031753159.4
CHCL,Chilime Hydropower Company Limited,Hydro Power,2024-12-03,2025-12-03,226,599.6,456.0,490.0,19871712,10617344273.5
CHDC,CEDB Hydropower Development Company Limited,Investment,2024-12-03,2025-12-03,226,2997.9,1545.3,2355.0,12903680,30242898688.47
CHL,Chhyangdi Hydropower Ltd.,Hydro Power,2024-12-03,2025-12-03,226,599.7,223.4,266.9,14540696,5885079982.35
CIT,Citizen Investment Trust,Investment,2024-12-03,2025-12-03,226,2235.0,1730.8,1860.0,2851212,5642562973.63
CITY,CITY HOTEL LIMITED ,Hotels And Tourism,2024-12-03,2025-12-03,226,1002.0,502.8,530.0,2869840,2397724590.2
CIZBD86,Citizens Bank International Limited,Commercial Banks,2024-12-03,2025-12-03,226,1200.5,1060.0,1134.5,2132,2423774.3
CIZBD90,Citizens Bank International Limited,Commercial Banks,2024-12-03,2025-12-03,226,1295.0,1113.0,1261.0,8304,9804809.5
CKHL,Chirkhwa Hydropower Limited,Hydro Power,2024-12-03,2025-12-03,226,910.0,550.0,650.0,2362888,1764180418.65
CLI,Citizen Life Insurance Company Limited,Life Insurance,2024-12-03,2025-12-03,226,774.9,411.0,485.1,10717882,6641703324.25
CMB,Capital Merchant Bank & Finance Co. Ltd.,Finance,2024-12-03,2025-12-03,226,140.0,140.0,140.0,0,0.0
CMF1,Citizens Bank International Limited,Commercial Banks,2024-12-03,2025-02-27,55,11.1,10.22,10.85,1779443,18870184.85
CMF2,CBIL Capital Limited,Mutual Fund,2024-12-03,2025-12-03,226,10.86,8.64,9.11,3191271,31229617.18
