Symbol,CompanyName,Sector,Date,High,Low,Close,Volume,Value_NPR,Trades
USHEC,Upper solu Electric company Limited,Hydro Power,2024-12-03,632.0,605.0,619.0,46088,28656184.4,354
USHEC,Upper solu Electric company Limited,Hydro Power,2024-12-04,646.0,608.0,617.0,50849,31780241.9,323
USHEC,Upper solu Electric company Limited,Hydro Power,2024-12-05,630.0,604.0,607.0,32239,19756717.7,216
USHEC,Upper solu Electric company Limited,Hydro Power,2024-12-08,610.0,580.0,589.9,31640,18711163.9,193
USHEC,Upper solu Electric company Limited,Hydro Power,2024-12-09,612.0,578.2,585.0,18158,10733979.3,161
USHEC,Upper solu Electric company Limited,Hydro Power,2024-12-10,617.0,573.3,587.0,14699,8817836.6,171
USHEC,Upper solu Electric company Limited,Hydro Power,2024-12-11,614.0,580.0,613.5,28308,17102841.8,268
USHEC,Upper solu Electric company Limited,Hydro Power,2024-12-12,625.0,600.9,610.0,27250,16677525.5,207
USHEC,Upper solu Electric company Limited,Hydro Power,2024-12-16,603.0,575.0,575.0,15351,9033364.0,184
USHEC,Upper solu Electric company Limited,Hydro Power,2024-12-17,590.0,563.5,579.0,13126,7605355.3,156
USHEC,Upper solu Electric company Limited,Hydro Power,2024-12-18,588.8,572.4,575.0,7020,4075986.0,97
USHEC,Upper solu Electric company Limited,Hydro Power,2024-12-19,594.0,563.5,580.0,26913,15693152.9,183
USHEC,Upper solu Electric company Limited,Hydro Power,2024-12-22,608.0,568.4,600.0,28468,16937217.3,224
USHEC,Upper solu Electric company Limited,Hydro Power,2024-12-23,633.0,588.0,629.0,52342,32616609.6,323
USHEC,Upper solu Electric company Limited,Hydro Power,2024-12-24,632.0,610.5,617.9,15973,9886695.9,144
USHEC,Upper solu Electric company Limited,Hydro Power,2024-12-26,619.0,605.6,610.9,13051,7984955.0,149
USHEC,Upper solu Electric company Limited,Hydro Power,2024-12-29,615.0,585.1,594.0,28020,16829133.4,211
USHEC,Upper solu Electric company Limited,Hydro Power,2024-12-31,587.0,574.0,575.0,17098,9922284.5,125
USHEC,Upper solu Electric company Limited,Hydro Power,2025-01-01,603.0,563.5,593.0,21673,12761498.0,155
USHEC,Upper solu Electric company Limited,Hydro Power,2025-01-02,616.0,588.0,607.0,21025,12767176.0,202
USHEC,Upper solu Electric company Limited,Hydro Power,2025-01-05,621.0,603.0,615.1,30434,18749657.6,256
USHEC,Upper solu Electric company Limited,Hydro Power,2025-01-06,642.8,604.1,640.0,64609,40922866.6,395
USHEC,Upper solu Electric company Limited,Hydro Power,2025-01-07,660.0,627.2,651.0,60114,38856134.2,480
USHEC,Upper solu Electric company Limited,Hydro Power,2025-01-08,690.0,660.0,682.8,75978,51581551.0,594
USHEC,Upper solu Electric company Limited,Hydro Power,2025-01-09,685.0,656.8,659.7,66715,44647059.6,392
USHEC,Upper solu Electric company Limited,Hydro Power,2025-01-12,672.0,646.6,667.0,24639,16369434.4,182
USHEC,Upper solu Electric company Limited,Hydro Power,2025-01-13,669.0,650.0,657.0,43664,28748333.7,313
USHEC,Upper solu Electric company Limited,Hydro Power,2025-01-15,697.0,657.1,692.0,66611,45564508.9,550
USHEC,Upper solu Electric company Limited,Hydro Power,2025-01-16,710.0,683.1,692.9,49334,34222158.0,364
USHEC,Upper solu Electric company Limited,Hydro Power,2025-01-19,718.0,680.0,710.0,76164,53421545.9,613
USHEC,Upper solu Electric company Limited,Hydro Power,2025-01-20,730.0,695.8,700.0,38690,27520590.8,338
USHEC,Upper solu Electric company Limited,Hydro Power,2025-01-21,710.0,677.0,680.0,37823,26091631.5,329
USHEC,Upper solu Electric company Limited,Hydro Power,2025-01-22,695.0,669.0,695.0,50856,34851255.9,308
USHEC,Upper solu Electric company Limited,Hydro Power,2025-01-23,703.0,681.1,695.0,21610,14989002.4,233
USHEC,Upper solu Electric company Limited,Hydro Power,2025-01-26,748.0,681.1,740.0,70985,50519932.4,521
USHEC,Upper solu Electric company Limited,Hydro Power,2025-01-27,749.9,711.1,724.8,43877,31827184.1,304
USHEC,Upper solu Electric company Limited,Hydro Power,2025-01-28,752.0,712.0,735.0,39476,29064791.7,375
USHEC,Upper solu Electric company Limited,Hydro Power,2025-02-02,749.0,711.0,711.0,32587,23690835.6,328
USHEC,Upper solu Electric company Limited,Hydro Power,2025-02-03,726.9,691.0,714.0,62587,43989753.5,407
USHEC,Upper solu Electric company Limited,Hydro Power,2025-02-04,727.0,692.0,695.0,36916,26001083.8,221
USHEC,Upper solu Electric company Limited,Hydro Power,2025-02-05,718.0,682.0,700.0,26601,18666502.8,211
USHEC,Upper solu Electric company Limited,Hydro Power,2025-02-06,713.6,690.0,692.1,25485,17772326.4,249
USHEC,Upper solu Electric company Limited,Hydro Power,2025-02-09,734.0,678.3,713.0,50837,36334139.0,415
USHEC,Upper solu Electric company Limited,Hydro Power,2025-02-10,727.2,698.5,719.0,29352,20821192.0,303
USHEC,Upper solu Electric company Limited,Hydro Power,2025-02-11,745.0,703.7,744.0,52350,38240390.8,395
USHEC,Upper solu Electric company Limited,Hydro Power,2025-02-12,750.9,721.4,728.0,41419,30440186.0,230
USHEC,Upper solu Electric company Limited,Hydro Power,2025-02-13,724.9,704.0,705.0,23950,17079193.3,212
USHEC,Upper solu Electric company Limited,Hydro Power,2025-02-16,730.0,690.9,727.0,39494,28409329.7,323
USHEC,Upper solu Electric company Limited,Hydro Power,2025-02-17,730.0,705.6,714.0,29071,20747382.9,204
USHEC,Upper solu Electric company Limited,Hydro Power,2025-02-18,728.0,696.0,696.0,26388,18530192.4,229
USHEC,Upper solu Electric company Limited,Hydro Power,2025-02-20,702.0,685.0,685.0,20391,14124770.6,217
USHEC,Upper solu Electric company Limited,Hydro Power,2025-02-23,749.0,665.3,700.0,24244,16629162.7,260
USHEC,Upper solu Electric company Limited,Hydro Power,2025-02-24,698.9,686.0,694.8,22465,15503509.1,156
USHEC,Upper solu Electric company Limited,Hydro Power,2025-02-25,694.6,668.0,683.4,29858,20227994.6,223
USHEC,Upper solu Electric company Limited,Hydro Power,2025-02-27,697.0,656.7,696.0,39363,26280704.6,307
USHEC,Upper solu Electric company Limited,Hydro Power,2025-03-02,700.0,672.3,684.0,16156,11022021.4,217
USHEC,Upper solu Electric company Limited,Hydro Power,2025-03-03,686.0,655.0,675.1,23003,15449411.6,236
USHEC,Upper solu Electric company Limited,Hydro Power,2025-03-04,675.0,655.0,655.0,23352,15485806.5,239
USHEC,Upper solu Electric company Limited,Hydro Power,2025-03-05,691.0,645.0,674.0,21986,14576072.5,194
USHEC,Upper solu Electric company Limited,Hydro Power,2025-03-06,678.0,661.0,678.0,7626,5113607.4,173
USHEC,Upper solu Electric company Limited,Hydro Power,2025-03-09,668.0,645.0,663.9,12015,7892219.3,150
USHEC,Upper solu Electric company Limited,Hydro Power,2025-03-10,664.0,627.5,660.0,18642,11960714.4,177
