Symbol,CompanyName,Sector,Date,High,Low,Close,Volume,Value_NPR,Trades
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotels And Tourism,2025-11-11,313.5,285.0,313.5,270,83515.0,27
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotels And Tourism,2025-11-12,344.8,313.9,344.8,490,167734.0,49
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotels And Tourism,2025-11-13,379.2,344.5,379.2,610,230274.0,61
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotels And Tourism,2025-11-16,417.1,386.7,417.1,820,341273.0,82
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotels And Tourism,2025-11-17,458.8,420.0,458.8,1430,654222.0,143
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotels And Tourism,2025-11-18,504.6,467.6,504.6,1540,776170.0,154
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotels And Tourism,2025-11-19,555.0,514.4,555.0,2360,1307985.0,236
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotels And Tourism,2025-11-20,610.5,566.0,610.5,6810,4155966.0,681
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotels And Tourism,2025-11-23,671.5,622.7,671.5,22250,14935774.0,1914
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotels And Tourism,2025-11-24,738.6,684.9,738.6,57040,42095094.0,5096
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotels And Tourism,2025-11-25,812.0,750.1,792.0,346850,269997649.0,34263
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotels And Tourism,2025-11-26,795.0,760.0,763.1,255880,196817555.5,23688
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotels And Tourism,2025-11-27,765.0,750.1,758.1,170479,128563286.3,14976
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotels And Tourism,2025-11-30,778.9,750.0,764.9,130752,99728356.6,7955
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotels And Tourism,2025-12-01,806.0,758.0,789.0,187463,146792961.0,6910
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotels And Tourism,2025-12-02,796.0,778.5,780.0,76732,60088493.6,3686
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotels And Tourism,2025-12-03,837.0,775.1,825.0,227147,184976769.6,5466
YHL,Yak And Yeti Hotel Limited,Hotels And Tourism,2024-12-03,600.0,600.0,600.0,0,0.0,0
YHL,Yak And Yeti Hotel Limited,Hotels And Tourism,2024-12-04,600.0,600.0,600.0,0,0.0,0
YHL,Yak And Yeti Hotel Limited,Hotels And Tourism,2024-12-05,600.0,600.0,600.0,0,0.0,0
YHL,Yak And Yeti Hotel Limited,Hotels And Tourism,2024-12-08,600.0,600.0,600.0,0,0.0,0
YHL,Yak And Yeti Hotel Limited,Hotels And Tourism,2024-12-09,600.0,600.0,600.0,0,0.0,0
YHL,Yak And Yeti Hotel Limited,Hotels And Tourism,2024-12-10,600.0,600.0,600.0,0,0.0,0
YHL,Yak And Yeti Hotel Limited,Hotels And Tourism,2024-12-11,600.0,600.0,600.0,0,0.0,0
YHL,Yak And Yeti Hotel Limited,Hotels And Tourism,2024-12-12,600.0,600.0,600.0,0,0.0,0
YHL,Yak And Yeti Hotel Limited,Hotels And Tourism,2024-12-16,600.0,600.0,600.0,0,0.0,0
YHL,Yak And Yeti Hotel Limited,Hotels And Tourism,2024-12-17,600.0,600.0,600.0,0,0.0,0
YHL,Yak And Yeti Hotel Limited,Hotels And Tourism,2024-12-18,600.0,600.0,600.0,0,0.0,0
YHL,Yak And Yeti Hotel Limited,Hotels And Tourism,2024-12-19,600.0,600.0,600.0,0,0.0,0
YHL,Yak And Yeti Hotel Limited,Hotels And Tourism,2024-12-22,600.0,600.0,600.0,0,0.0,0
YHL,Yak And Yeti Hotel Limited,Hotels And Tourism,2024-12-23,600.0,600.0,600.0,0,0.0,0
YHL,Yak And Yeti Hotel Limited,Hotels And Tourism,2024-12-24,600.0,600.0,600.0,0,0.0,0
YHL,Yak And Yeti Hotel Limited,Hotels And Tourism,2024-12-26,600.0,600.0,600.0,0,0.0,0
YHL,Yak And Yeti Hotel Limited,Hotels And Tourism,2024-12-29,600.0,600.0,600.0,0,0.0,0
